ArraySize,SelectionSort,MergeSort
10,0.000834,0.0075
20,0.002333,0.014125
30,0.004208,0.020083
40,0.006459,0.027875
50,0.009208,0.034333
60,0.011584,0.041375
70,0.016083,0.050208
80,0.019625,0.056958
90,0.024708,0.064959
100,0.029625,0.072209
110,0.034583,0.07975
120,0.040958,0.086125
130,0.054,0.093375
140,0.053125,0.110125
150,0.060875,0.112208
160,0.068083,0.121209
170,0.075375,0.129125
180,0.085333,0.137667
190,0.093917,0.142917
200,0.102375,0.151
210,0.112959,0.159708
220,0.122875,0.165791
230,0.134791,0.254583
240,0.197125,0.179292
